FY 2020,,AVNT US Equity,ABB US Equity,ACHC US Equity,AMD US Equity,ASIX US Equity,ACM US Equity,ALK US Equity,ADS US Equity,MO US Equity,ABEV US Equity,AAT US Equity,AXL US Equity,AMT US Equity,AU US Equity,ADM US Equity,AMBP US Equity,T US Equity,ADP US Equity,BHC US Equity,BBY US Equity,BURL US Equity,CMD US Equity,COF US Equity,CAT US Equity,SNP US Equity,CHD US Equity,CIT US Equity,CLF US Equity,CL US Equity,CMC US Equity,COP US Equity,CSTM US Equity,CUB US Equity,DCI US Equity,DTE US Equity,ETRN US Equity,ESNT US Equity,ESS US Equity,FR US Equity,FLWS US Equity,GPS US Equity,GIL US Equity,GKOS US Equity,HSC US Equity,HIG US Equity,HAS US Equity,HBI US Equity,PEAK US Equity,HLF US Equity,HI US Equity,HUN US Equity,INGR US Equity,IBM US Equity,IFF US Equity,IGT US Equity,JHG US Equity,KSU US Equity,7986Z US Equity,KRC US Equity,LOW US Equity,MAC US Equity,MAR US Equity,MRK US Equity,MCO US Equity,MUR US Equity,NJR US Equity,NWL US Equity,NEE US Equity,NWBO US Equity,OCLB US Equity,OEC US Equity,OUT US Equity,PK US Equity,PH US Equity,BTU US Equity,PEP US Equity,GLT US Equity,PSX US Equity,PBI US Equity,PEG US Equity,PSA US Equity,QTS US Equity,RTX US Equity,SPPJY US Equity,SIG US Equity,STM US Equity,SYT US Equity,SYY US Equity,TRGP US Equity,TGT US Equity,HSY US Equity,HD US Equity,SJM US Equity,THS US Equity,UNP US Equity,VIPS US Equity,SHW US Equity,WDAY US Equity,WH US Equity,ZBH US Equity
# Independent Dir on Comp Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.00,3.00,3.00,3.00,3.00,5.00,5.00,3.00,5.00,0.00,3.00,5.00,3.00,4.00,4.00,—,5.00,4.00,4.00,5.00,3.00,4.00,6.00,3.00,2.00,4.00,4.00,4.00,5.00,4.00,6.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,—,3.00,4.00,7.00,3.00,4.00,5.00,6.00,3.00,4.00,3.00,5.00,3.00,3.00,4.00,4.00,3.00,4.00,3.00,—,3.00,5.00,4.00,4.00,5.00,8.00,6.00,5.00,4.00,5.00,2.00,—,—,3.00,4.00,6.00,3.00,4.00,5.00,5.00,5.00,7.00,2.00,4.00,6.00,5.00,3.00,5.00,—,6.00,4.00,5.00,6.00,4.00,3.00,5.00,5.00,3.00,5.00,3.00,3.00,5.00
% Independent Dir on Comp Cmte,PCT_IND_DIRECTORS_ON_COMP_CMTE,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,—,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,66.67,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,—,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,—,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,—,—,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,—,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Independent Compensation Committee Chairperson,IND_COMP_CMTE_CHAIRPERSON,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,—,—,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
# Non Exec Dir on Comp Cmte,NUM_OF_N_EXEC_DIR_ON_COMP_CMTE,4.00,3.00,3.00,3.00,3.00,5.00,5.00,3.00,5.00,3.00,3.00,5.00,3.00,4.00,4.00,—,5.00,4.00,4.00,5.00,3.00,4.00,6.00,3.00,2.00,4.00,4.00,4.00,5.00,4.00,6.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,—,3.00,4.00,7.00,3.00,4.00,5.00,6.00,3.00,4.00,3.00,5.00,3.00,3.00,4.00,4.00,3.00,4.00,3.00,—,3.00,5.00,4.00,4.00,5.00,8.00,6.00,5.00,4.00,5.00,2.00,—,—,3.00,4.00,6.00,3.00,4.00,5.00,5.00,5.00,7.00,2.00,4.00,6.00,5.00,3.00,5.00,—,6.00,4.00,5.00,6.00,4.00,3.00,5.00,5.00,3.00,5.00,3.00,3.00,5.00
# Comp Committee Meetings,NUM_COMPENSATION_CMTE_MTG,7.00,8.00,5.00,6.00,5.00,8.00,7.00,11.00,6.00,—,2.00,6.00,5.00,5.00,4.00,—,11.00,4.00,7.00,6.00,5.00,6.00,6.00,5.00,1.00,4.00,—,6.00,5.00,6.00,11.00,4.00,7.00,3.00,4.00,9.00,2.00,3.00,—,5.00,10.00,5.00,4.00,9.00,6.00,6.00,5.00,3.00,6.00,9.00,6.00,6.00,5.00,6.00,—,5.00,6.00,—,3.00,7.00,6.00,5.00,5.00,6.00,6.00,4.00,10.00,4.00,6.00,—,—,4.00,6.00,6.00,6.00,5.00,7.00,6.00,8.00,5.00,6.00,9.00,5.00,6.00,5.00,2.00,—,11.00,4.00,6.00,6.00,5.00,6.00,7.00,7.00,—,4.00,5.00,6.00,7.00
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_%,75.00,100.00,75.00,75.00,95.00,75.00,—,100.00,93.00,—,100.00,99.00,75.00,—,75.00,—,75.00,75.00,100.00,75.00,85.00,75.00,75.00,100.00,100.00,75.00,—,95.00,99.00,99.00,75.00,100.00,75.00,75.00,90.00,100.00,75.00,75.00,—,75.00,75.00,97.50,75.00,75.00,75.00,75.00,75.00,100.00,75.00,75.00,75.00,75.00,99.00,75.00,—,100.00,75.00,—,75.00,75.00,75.00,90.00,75.00,90.00,100.00,75.00,75.00,100.00,75.00,—,—,75.00,75.00,75.00,98.00,100.00,95.00,75.00,75.00,75.00,75.00,75.00,99.00,90.90,97.00,100.00,—,96.60,75.00,85.00,98.00,75.00,75.00,75.00,75.00,—,75.00,75.00,75.00,75.00
Outside Compensation Advisors Appointed,OUTSIDE_COMP_ADVISORS_APPT,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,—,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,—,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00
Executive Compensation Consultant Srvcs Provided,EXEC_COM_CONSULTANT_SVC_PROVIDED,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,—,—,3.00,3.00,3.00,3.00,—,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,—,3.00,3.00,3.00,3.00,3.00,3.00,—,3.00,2.00,3.00,3.00,3.00,3.00,—,—,3.00,3.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,—,—,3.00,—,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,—,—,—,3.00,3.00,1.00,3.00,3.00,3.00,1.00,3.00,3.00,—,3.00,3.00,3.00,3.00,—,—,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,—,3.00,3.00,3.00,1.00
Nomination Committee,,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.00,3.00,4.00,7.00,3.00,4.00,3.00,3.00,6.00,0.00,3.00,6.00,4.00,5.00,4.00,—,5.00,4.00,4.00,5.00,4.00,3.00,4.00,4.00,3.00,4.00,5.00,4.00,5.00,4.00,6.00,4.00,4.00,4.00,4.00,4.00,2.00,3.00,—,3.00,3.00,7.00,3.00,5.00,5.00,6.00,3.00,3.00,3.00,10.00,5.00,3.00,3.00,3.00,3.00,9.00,4.00,—,5.00,5.00,4.00,3.00,6.00,8.00,4.00,4.00,3.00,6.00,2.00,—,—,3.00,5.00,6.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,6.00,3.00,3.00,5.00,—,5.00,4.00,4.00,6.00,5.00,3.00,4.00,5.00,3.00,4.00,4.00,4.00,5.00
# Independent Dir on Nom Cmte,NUM_IND_DIR_ON_NOM_CMTE,5.00,3.00,4.00,7.00,3.00,4.00,3.00,3.00,6.00,—,3.00,6.00,4.00,5.00,4.00,—,5.00,4.00,4.00,5.00,4.00,3.00,4.00,4.00,2.00,4.00,5.00,4.00,5.00,4.00,6.00,4.00,4.00,4.00,4.00,4.00,2.00,3.00,—,3.00,3.00,7.00,3.00,5.00,5.00,6.00,3.00,3.00,3.00,10.00,5.00,3.00,3.00,3.00,3.00,8.00,4.00,—,5.00,5.00,4.00,3.00,6.00,8.00,4.00,4.00,3.00,6.00,2.00,—,—,3.00,5.00,6.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,6.00,3.00,3.00,5.00,—,5.00,4.00,4.00,6.00,5.00,3.00,4.00,5.00,3.00,4.00,4.00,4.00,5.00
Pct of Ind Directors on Nomination Committee,PCT_OF_IND_DIRECTORS_ON_NOM_CMTE,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,—,100.00,100.00,100.00,100.00,100.00,—,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,66.67,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,—,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,88.89,100.00,—,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,—,—,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,—,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Independent Nomination Committee Chairperson,IND_NOMINATION_CMTE_CHAIRPERSON,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,—,1.00,1.00,1.00,1.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,—,—,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
# Non Exec Dir on Nom Cmte,NUM_OF_NON_EXEC_DIR_ON_NOM_CMTE,5.00,3.00,4.00,7.00,3.00,4.00,3.00,3.00,6.00,—,3.00,6.00,4.00,5.00,4.00,—,5.00,4.00,4.00,5.00,4.00,3.00,4.00,4.00,3.00,4.00,5.00,4.00,5.00,4.00,6.00,4.00,4.00,4.00,4.00,4.00,2.00,3.00,—,3.00,3.00,7.00,3.00,5.00,5.00,6.00,3.00,3.00,3.00,10.00,5.00,3.00,3.00,3.00,3.00,9.00,4.00,—,5.00,5.00,4.00,3.00,6.00,8.00,4.00,4.00,3.00,6.00,2.00,—,—,3.00,5.00,6.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,6.00,3.00,3.00,5.00,—,5.00,4.00,4.00,6.00,5.00,3.00,4.00,5.00,3.00,4.00,4.00,4.00,5.00
# Nom Cmte Meetings,NUM_OF_NOMINATION_CMTE_MTG,3.00,5.00,3.00,4.00,4.00,3.00,4.00,4.00,5.00,—,1.00,4.00,6.00,4.00,5.00,—,5.00,3.00,4.00,5.00,4.00,4.00,6.00,7.00,5.00,8.00,—,5.00,5.00,4.00,5.00,7.00,4.00,2.00,4.00,7.00,3.00,2.00,—,2.00,13.00,5.00,4.00,4.00,5.00,5.00,5.00,4.00,5.00,4.00,6.00,4.00,4.00,4.00,—,5.00,4.00,—,2.00,5.00,3.00,4.00,4.00,6.00,3.00,6.00,5.00,3.00,0.00,—,—,4.00,2.00,2.00,7.00,5.00,3.00,4.00,6.00,4.00,15.00,4.00,6.00,3.00,4.00,2.00,—,8.00,3.00,4.00,5.00,4.00,3.00,5.00,3.00,—,2.00,5.00,4.00,6.00
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_%,75.00,100.00,75.00,75.00,95.00,75.00,—,100.00,93.00,—,100.00,99.00,75.00,—,75.00,—,75.00,75.00,93.75,75.00,85.00,75.00,75.00,92.85,100.00,75.00,—,95.00,99.00,99.00,75.00,100.00,75.00,75.00,90.00,100.00,75.00,75.00,—,75.00,75.00,97.50,75.00,75.00,75.00,75.00,75.00,100.00,75.00,75.00,75.00,75.00,99.00,75.00,—,97.77,75.00,—,75.00,75.00,75.00,90.00,75.00,90.00,100.00,75.00,75.00,100.00,—,—,—,75.00,75.00,75.00,98.00,100.00,95.00,75.00,75.00,75.00,75.00,75.00,99.00,100.00,97.00,90.00,—,96.60,75.00,85.00,98.00,75.00,75.00,75.00,75.00,—,75.00,75.00,75.00,75.00
CSR/Sustainability Committee,,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty
CSR/Sustainability Committee,CSR_SUSTAINABILITY_COMMITTEE,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,—,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,—,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,—,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,—,—,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,—,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00
Size of CSR Sustainability Committee,SIZE_OF_CSR_SUSTAIN_COMMTTEE,5.00,—,0.00,0.00,3.00,5.00,4.00,3.00,6.00,0.00,—,6.00,0.00,4.00,5.00,—,4.00,0.00,0.00,5.00,0.00,0.00,4.00,4.00,3.00,4.00,0.00,4.00,5.00,0.00,7.00,3.00,4.00,0.00,4.00,4.00,2.00,3.00,—,0.00,3.00,5.00,3.00,5.00,5.00,6.00,0.00,3.00,3.00,10.00,5.00,3.00,3.00,0.00,3.00,0.00,4.00,—,3.00,4.00,0.00,0.00,6.00,8.00,5.00,4.00,3.00,0.00,0.00,—,—,0.00,0.00,0.00,3.00,4.00,0.00,10.00,0.00,0.00,3.00,0.00,6.00,5.00,4.00,—,—,6.00,4.00,0.00,0.00,5.00,3.00,—,5.00,0.00,4.00,0.00,4.00,5.00
Num Independent Directors on CSR Committee,NUM_OF_INDEP_DIR_ON_CSR_CMTE,4.00,—,—,—,3.00,4.00,4.00,3.00,6.00,—,—,6.00,—,4.00,5.00,—,4.00,—,—,5.00,—,—,4.00,4.00,2.00,4.00,—,3.00,5.00,—,7.00,3.00,4.00,—,4.00,4.00,2.00,3.00,—,—,3.00,5.00,3.00,5.00,5.00,6.00,—,3.00,3.00,10.00,5.00,3.00,3.00,—,3.00,—,4.00,—,2.00,4.00,—,—,6.00,8.00,5.00,4.00,3.00,—,—,—,—,—,—,—,3.00,4.00,—,10.00,—,—,3.00,—,6.00,4.00,4.00,—,—,6.00,3.00,—,—,5.00,3.00,—,5.00,—,4.00,—,4.00,5.00
Pct Independent Directors on CSR Committee,PCT_OF_INDEP_DIR_ON_CSR_CMTE,80.00,—,—,—,100.00,80.00,100.00,100.00,100.00,—,—,100.00,—,100.00,100.00,—,100.00,—,—,100.00,—,—,100.00,100.00,66.67,100.00,—,75.00,100.00,—,100.00,100.00,100.00,—,100.00,100.00,100.00,100.00,—,—,100.00,—,100.00,100.00,100.00,100.00,—,100.00,100.00,100.00,100.00,—,100.00,—,100.00,—,100.00,—,66.67,100.00,—,—,100.00,100.00,100.00,100.00,100.00,—,—,—,—,—,—,—,100.00,100.00,—,100.00,—,—,100.00,—,100.00,—,100.00,—,—,100.00,75.00,—,—,100.00,100.00,—,100.00,—,—,—,100.00,—
